epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
4,,,69,,,,0.3284483253955841,,
4,,,79,,,,0.3148302137851715,,
,,,36,,,,,,0.32306644320487976
,,,37,,,,,,0.31854048371315
,,,38,,,,,,0.31714022159576416
,,,39,,,,,,0.31715095043182373
,,,40,,,,,,0.31652846932411194
,,,41,,,,,,0.34860193729400635
,,,42,,,,,,0.3141724467277527
,,,43,,,,,,0.3239836096763611
,,,44,,,,,,0.31804803013801575
4,0.9962538480758667,0.9963235259056091,84,,,,,0.3222188353538513,
4,,,84,,,0.3211720287799835,,,
5,,,89,,,,0.31463974714279175,,
5,,,99,,,,0.3213278353214264,,
,,,45,,,,,,0.3193609416484833
,,,46,,,,,,0.317196786403656
,,,47,,,,,,0.31589198112487793
,,,48,,,,,,0.3159106969833374
,,,49,,,,,,0.3159113824367523
,,,50,,,,,,0.32866910099983215
,,,51,,,,,,0.31376537680625916
,,,52,,,,,,0.31350451707839966
,,,53,,,,,,0.3153734803199768
5,0.9962538480758667,0.9963235259056091,101,,,,,0.31743764877319336,
5,,,101,,,0.31964772939682007,,,
6,,,109,,,,0.3172963261604309,,
,,,54,,,,,,0.3197582960128784
,,,55,,,,,,0.3166685700416565
,,,56,,,,,,0.3152068853378296
,,,57,,,,,,0.3152272403240204
,,,58,,,,,,0.3163447082042694
,,,59,,,,,,0.3369233310222626
,,,60,,,,,,0.3134402930736542
,,,61,,,,,,0.31346532702445984
,,,62,,,,,,0.31458303332328796
6,0.9962538480758667,0.9963235259056091,118,,,,,0.31822293996810913,
6,,,118,,,0.31910279393196106,,,
7,,,119,,,,0.32061371207237244,,
7,,,129,,,,0.3161371946334839,,
,,,63,,,,,,0.3188016414642334
,,,64,,,,,,0.3162975609302521
,,,65,,,,,,0.3149678409099579
,,,66,,,,,,0.31501516699790955
,,,67,,,,,,0.3173447549343109
,,,68,,,,,,0.34380602836608887
,,,69,,,,,,0.31336304545402527
,,,70,,,,,,0.31446850299835205
,,,71,,,,,,0.3144093453884125
7,0.9962538480758667,0.9963235259056091,135,,,,,0.3190583288669586,
7,,,135,,,0.3186284899711609,,,
8,,,139,,,,0.31630823016166687,,
8,,,149,,,,0.3136425018310547,,
,,,72,,,,,,0.31699326634407043
,,,73,,,,,,0.3151521682739258
,,,74,,,,,,0.3142896890640259
,,,75,,,,,,0.31432440876960754
,,,76,,,,,,0.3168349862098694
,,,77,,,,,,0.34425461292266846
,,,78,,,,,,0.31334441900253296
,,,79,,,,,,0.3151187300682068
,,,80,,,,,,0.3144654929637909
8,0.9962538480758667,0.9963235259056091,152,,,,,0.31861090660095215,
8,,,152,,,0.31675803661346436,,,
9,,,159,,,,0.331199049949646,,
9,,,169,,,,0.3142777681350708,,
,,,81,,,,,,0.3162211775779724
,,,82,,,,,,0.31458091735839844
,,,83,,,,,,0.31395775079727173
,,,84,,,,,,0.3139914572238922
,,,85,,,,,,0.3162716329097748
,,,86,,,,,,0.3441300392150879
,,,87,,,,,,0.3133372366428375
,,,88,,,,,,0.3159849941730499
,,,89,,,,,,0.314346581697464
9,0.9962538480758667,0.9963235259056091,169,,,,,0.3183858394622803,
9,,,169,,,0.3158068358898163,,,
10,,,179,,,,0.31380152702331543,,
,,,90,,,,,,0.31737640500068665
,,,91,,,,,,0.31459927558898926
,,,92,,,,,,0.3138484060764313
,,,93,,,,,,0.313875675201416
,,,94,,,,,,0.31655025482177734
,,,95,,,,,,0.3414345979690552
,,,96,,,,,,0.3133002817630768
,,,97,,,,,,0.3161310851573944
,,,98,,,,,,0.31395193934440613
10,0.9962538480758667,0.9963235259056091,186,,,,,0.31820666790008545,
10,,,186,,,0.31695887446403503,,,
11,,,189,,,,0.3213415741920471,,
11,,,199,,,,0.3141847550868988,,
,,,99,,,,,,0.31472063064575195
,,,100,,,,,,0.31379640102386475
,,,101,,,,,,0.31364870071411133
,,,102,,,,,,0.31366729736328125
,,,103,,,,,,0.31463634967803955
,,,104,,,,,,0.34291356801986694
,,,105,,,,,,0.31349730491638184
,,,106,,,,,,0.3191642761230469
,,,107,,,,,,0.31460970640182495
11,0.9962538480758667,0.9963235259056091,203,,,,,0.3181053698062897,
11,,,203,,,0.3154588043689728,,,
12,,,209,,,,0.3132881820201874,,
12,,,219,,,,0.31402426958084106,,
,,,108,,,,,,0.3160307705402374
,,,109,,,,,,0.31381478905677795
,,,110,,,,,,0.3136146068572998
,,,111,,,,,,0.31362831592559814
,,,112,,,,,,0.3154413104057312
,,,113,,,,,,0.3435559868812561
,,,114,,,,,,0.31335633993148804
,,,115,,,,,,0.3188992142677307
,,,116,,,,,,0.31415727734565735
12,0.9962538480758667,0.9963235259056091,220,,,,,0.31836196780204773,
12,,,220,,,0.31555187702178955,,,
13,,,229,,,,0.3136099576950073,,
,,,117,,,,,,0.315371572971344
,,,118,,,,,,0.31368640065193176
,,,119,,,,,,0.3135215640068054
,,,120,,,,,,0.31353485584259033
,,,121,,,,,,0.3154059648513794
,,,122,,,,,,0.34379568696022034
,,,123,,,,,,0.3133438229560852
,,,124,,,,,,0.31765180826187134
,,,125,,,,,,0.31413543224334717
13,0.9962538480758667,0.9963235259056091,237,,,,,0.31811782717704773,
13,,,237,,,0.31466740369796753,,,
14,,,239,,,,0.313862144947052,,
14,,,249,,,,0.3134535253047943,,
,,,126,,,,,,0.3141884207725525
,,,127,,,,,,0.3135501742362976
,,,128,,,,,,0.3134593367576599
,,,129,,,,,,0.31347519159317017
,,,130,,,,,,0.31511688232421875
,,,131,,,,,,0.3439425230026245
,,,132,,,,,,0.31340348720550537
,,,133,,,,,,0.31809577345848083
,,,134,,,,,,0.3142995536327362
14,0.9962538480758667,0.9963235259056091,254,,,,,0.31799519062042236,
14,,,254,,,0.3137619197368622,,,
15,,,259,,,,0.31543827056884766,,
15,,,269,,,,0.3138582706451416,,
,,,135,,,,,,0.31395700573921204
,,,136,,,,,,0.31350141763687134
,,,137,,,,,,0.31341317296028137
,,,138,,,,,,0.3134238123893738
,,,139,,,,,,0.31416285037994385
,,,140,,,,,,0.3441615700721741
,,,141,,,,,,0.3133729100227356
,,,142,,,,,,0.3181512951850891
,,,143,,,,,,0.31438493728637695
15,0.9962538480758667,0.9963235259056091,271,,,,,0.31786832213401794,
15,,,271,,,0.31441670656204224,,,
16,,,279,,,,0.3134782910346985,,
,,,144,,,,,,0.3155770003795624
,,,145,,,,,,0.3137265741825104
,,,146,,,,,,0.3134307861328125
,,,147,,,,,,0.31344181299209595
,,,148,,,,,,0.31595301628112793
,,,149,,,,,,0.3433034121990204
,,,150,,,,,,0.31328636407852173
,,,151,,,,,,0.3137780427932739
,,,152,,,,,,0.31437623500823975
16,0.9962538480758667,0.9963235259056091,288,,,,,0.3176705837249756,
16,,,288,,,0.31382665038108826,,,
17,,,289,,,,0.314253032207489,,
17,,,299,,,,0.3139311671257019,,
,,,153,,,,,,0.31404900550842285
,,,154,,,,,,0.3135107159614563
,,,155,,,,,,0.31337904930114746
,,,156,,,,,,0.3133890926837921
,,,157,,,,,,0.3146473169326782
,,,158,,,,,,0.34414762258529663
,,,159,,,,,,0.3133000135421753
,,,160,,,,,,0.31539395451545715
,,,161,,,,,,0.3144070506095886
17,0.9962538480758667,0.9963235259056091,305,,,,,0.3175903260707855,
17,,,305,,,0.31383728981018066,,,
18,,,309,,,,0.3133516013622284,,
18,,,319,,,,0.3135395348072052,,
,,,162,,,,,,0.31374460458755493
,,,163,,,,,,0.31345334649086
,,,164,,,,,,0.3133641183376312
,,,165,,,,,,0.31337451934814453
,,,166,,,,,,0.3142375349998474
,,,167,,,,,,0.3442339301109314
,,,168,,,,,,0.3133123219013214
,,,169,,,,,,0.31599512696266174
,,,170,,,,,,0.31428930163383484
18,0.9962538480758667,0.9963235259056091,322,,,,,0.31757333874702454,
18,,,322,,,0.31362059712409973,,,
19,,,329,,,,0.31463131308555603,,
19,,,339,,,,0.3143029510974884,,
,,,171,,,,,,0.31418412923812866
,,,172,,,,,,0.31352460384368896
,,,173,,,,,,0.31336456537246704
,,,174,,,,,,0.313373327255249
,,,175,,,,,,0.3148871064186096
,,,176,,,,,,0.34421807527542114
,,,177,,,,,,0.31330010294914246
,,,178,,,,,,0.3161652386188507
,,,179,,,,,,0.31771424412727356
19,0.9962538480758667,0.9963235259056091,339,,,,,0.31787043809890747,
19,,,339,,,0.314256489276886,,,
,,,0,,0.31418412923812866,,,,
,,,1,,0.31352460384368896,,,,
,,,2,,0.31336456537246704,,,,
,,,3,,0.313373327255249,,,,
,,,4,,0.3148871064186096,,,,
,,,5,,0.34421807527542114,,,,
,,,6,,0.31330010294914246,,,,
,,,7,,0.3161652386188507,,,,
,,,8,,0.31771424412727356,,,,
20,,,340,0.31787043809890747,,,,,
