epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,,,9,,,,0.5624269247055054,,
,,,0,,,,,,0.689917802810669
,,,1,,,,,,0.6584998369216919
,,,2,,,,,,0.6523133516311646
,,,3,,,,,,0.6476629972457886
,,,4,,,,,,0.3941672742366791
,,,5,,,,,,0.31553542613983154
,,,6,,,,,,0.3191196918487549
,,,7,,,,,,0.316751092672348
,,,8,,,,,,0.32379046082496643
0,0.9512424468994141,0.9551724195480347,16,,,,,0.4920174181461334,
0,,,16,,,0.5568228960037231,,,
1,,,19,,,,0.5214876532554626,,
1,,,29,,,,0.41089215874671936,,
,,,9,,,,,,0.5208663940429688
,,,10,,,,,,0.5080454349517822
,,,11,,,,,,0.5039775967597961
,,,12,,,,,,0.5023104548454285
,,,13,,,,,,0.36391210556030273
,,,14,,,,,,0.3223417401313782
,,,15,,,,,,0.326812744140625
,,,16,,,,,,0.31933727860450745
,,,17,,,,,,0.33148133754730225
1,0.9962544441223145,0.9962406158447266,33,,,,,0.417264461517334,
1,,,33,,,0.47366875410079956,,,
2,,,39,,,,0.3776133358478546,,
2,,,49,,,,0.3374548852443695,,
,,,18,,,,,,0.3577846884727478
,,,19,,,,,,0.3543946444988251
,,,20,,,,,,0.35271334648132324
,,,21,,,,,,0.3524806499481201
,,,22,,,,,,0.32835376262664795
,,,23,,,,,,0.3519170880317688
,,,24,,,,,,0.3506621718406677
,,,25,,,,,,0.32708463072776794
,,,26,,,,,,0.3425547778606415
2,0.988758385181427,0.989130437374115,50,,,,,0.3467438519001007,
2,,,50,,,0.37705060839653015,,,
3,,,59,,,,0.32762646675109863,,
,,,27,,,,,,0.3265097737312317
,,,28,,,,,,0.3226785659790039
,,,29,,,,,,0.3215106725692749
,,,30,,,,,,0.3215576410293579
,,,31,,,,,,0.31802427768707275
,,,32,,,,,,0.34804660081863403
,,,33,,,,,,0.3241879940032959
,,,34,,,,,,0.339177668094635
,,,35,,,,,,0.323396235704422
3,0.992506742477417,0.9927007555961609,67,,,,,0.3275338411331177,
3,,,67,,,0.33069393038749695,,,
