epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,,,9,,,,0.5031411051750183,,
,,,0,,,,,,0.6511041522026062
,,,1,,,,,,0.6305004358291626
,,,2,,,,,,0.6249315142631531
,,,3,,,,,,0.6299761533737183
,,,4,,,,,,0.44890302419662476
,,,5,,,,,,0.3165355324745178
,,,6,,,,,,0.325032502412796
,,,7,,,,,,0.31614241003990173
,,,8,,,,,,0.3313465118408203
0,0.9662618637084961,0.9664179086685181,16,,,,,0.4862353205680847,
0,,,16,,,0.5394435524940491,,,
1,,,19,,,,0.500588595867157,,
1,,,29,,,,0.4423431158065796,,
,,,9,,,,,,0.5320937633514404
,,,10,,,,,,0.509041428565979
,,,11,,,,,,0.5125927925109863
,,,12,,,,,,0.5164740681648254
,,,13,,,,,,0.400526225566864
,,,14,,,,,,0.31645357608795166
,,,15,,,,,,0.3290367126464844
,,,16,,,,,,0.31582242250442505
,,,17,,,,,,0.3297286927700043
1,1.0,1.0,33,,,,,0.424915075302124,
1,,,33,,,0.4607061743736267,,,
2,,,39,,,,0.44322866201400757,,
2,,,49,,,,0.3353988230228424,,
,,,18,,,,,,0.3840375244617462
,,,19,,,,,,0.3725321888923645
,,,20,,,,,,0.3774470090866089
,,,21,,,,,,0.3786383271217346
,,,22,,,,,,0.3425430655479431
,,,23,,,,,,0.31992873549461365
,,,24,,,,,,0.3479807376861572
,,,25,,,,,,0.3393975496292114
,,,26,,,,,,0.33842185139656067
2,0.9887006282806396,0.9896551966667175,50,,,,,0.3570142388343811,
2,,,50,,,0.391887903213501,,,
3,,,59,,,,0.34657159447669983,,
,,,27,,,,,,0.3324378728866577
,,,28,,,,,,0.327488511800766
,,,29,,,,,,0.32879438996315
,,,30,,,,,,0.3293486535549164
,,,31,,,,,,0.32055723667144775
,,,32,,,,,,0.31563055515289307
,,,33,,,,,,0.3515993654727936
,,,34,,,,,,0.3442143201828003
,,,35,,,,,,0.3320232629776001
3,0.9887006282806396,0.9896551966667175,67,,,,,0.3312903642654419,
3,,,67,,,0.3402567207813263,,,
4,,,69,,,,0.33453941345214844,,
4,,,79,,,,0.32202696800231934,,
,,,36,,,,,,0.32227420806884766
,,,37,,,,,,0.31874880194664
,,,38,,,,,,0.3191772699356079
,,,39,,,,,,0.3195643126964569
,,,40,,,,,,0.31581154465675354
,,,41,,,,,,0.3141322135925293
,,,42,,,,,,0.34475839138031006
,,,43,,,,,,0.3434656262397766
,,,44,,,,,,0.3267820179462433
4,0.9887006282806396,0.9896551966667175,84,,,,,0.32482561469078064,
4,,,84,,,0.32498425245285034,,,
5,,,89,,,,0.3191620111465454,,
5,,,99,,,,0.329336553812027,,
,,,45,,,,,,0.31790927052497864
,,,46,,,,,,0.3158835172653198
,,,47,,,,,,0.3160859942436218
,,,48,,,,,,0.3163107931613922
,,,49,,,,,,0.31447798013687134
,,,50,,,,,,0.31372129917144775
,,,51,,,,,,0.3497188091278076
,,,52,,,,,,0.3431600332260132
,,,53,,,,,,0.3277064561843872
5,0.9887006282806396,0.9896551966667175,101,,,,,0.323585569858551,
5,,,101,,,0.31883105635643005,,,
6,,,109,,,,0.31535157561302185,,
,,,54,,,,,,0.31709933280944824
,,,55,,,,,,0.3152103126049042
,,,56,,,,,,0.3153100609779358
,,,57,,,,,,0.31555894017219543
,,,58,,,,,,0.3141321837902069
,,,59,,,,,,0.3134394884109497
,,,60,,,,,,0.342923104763031
,,,61,,,,,,0.32004252076148987
,,,62,,,,,,0.3287164866924286
6,0.9924712181091309,0.9930555820465088,118,,,,,0.3196060061454773,
6,,,118,,,0.32012081146240234,,,
7,,,119,,,,0.3152373731136322,,
7,,,129,,,,0.31378766894340515,,
,,,63,,,,,,0.3159814178943634
,,,64,,,,,,0.31468793749809265
,,,65,,,,,,0.3147587478160858
,,,66,,,,,,0.3149324059486389
,,,67,,,,,,0.3139021098613739
,,,68,,,,,,0.3134114146232605
,,,69,,,,,,0.3464970588684082
,,,70,,,,,,0.32364094257354736
,,,71,,,,,,0.3309548497200012
7,0.9924712181091309,0.9930555820465088,135,,,,,0.32018911838531494,
7,,,135,,,0.3162826597690582,,,
8,,,139,,,,0.32661259174346924,,
8,,,149,,,,0.3142004907131195,,
,,,72,,,,,,0.31562671065330505
,,,73,,,,,,0.31420740485191345
,,,74,,,,,,0.31425195932388306
,,,75,,,,,,0.3143980801105499
,,,76,,,,,,0.31368350982666016
,,,77,,,,,,0.31334489583969116
,,,78,,,,,,0.34113451838493347
,,,79,,,,,,0.333280086517334
,,,80,,,,,,0.3276386260986328
8,0.9924712181091309,0.9930555820465088,152,,,,,0.3203059732913971,
8,,,152,,,0.3157239854335785,,,
9,,,159,,,,0.3143666684627533,,
9,,,169,,,,0.31603431701660156,,
,,,81,,,,,,0.31445062160491943
,,,82,,,,,,0.3138846457004547
,,,83,,,,,,0.31391870975494385
,,,84,,,,,,0.31400173902511597
,,,85,,,,,,0.3135553300380707
,,,86,,,,,,0.3133886158466339
,,,87,,,,,,0.3506610691547394
,,,88,,,,,,0.3408913314342499
,,,89,,,,,,0.3369970917701721
9,0.9887006282806396,0.9896551966667175,169,,,,,0.3224683105945587,
