epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,,,61,,,,,,0.31520789861679077
,,,62,,,,,,0.4390459954738617
6,0.9887006282806396,0.9896551966667175,118,,,,,0.32420340180397034,
6,,,118,,,0.31634241342544556,,,
7,,,119,,,,0.3145100474357605,,
7,,,129,,,,0.3143998682498932,,
,,,63,,,,,,0.32746875286102295
,,,64,,,,,,0.3142843544483185
,,,65,,,,,,0.31456461548805237
,,,66,,,,,,0.3142700791358948
,,,67,,,,,,0.3411978483200073
,,,68,,,,,,0.31331539154052734
,,,69,,,,,,0.316169798374176
,,,70,,,,,,0.31443703174591064
,,,71,,,,,,0.4341665208339691
7,0.9887006282806396,0.9896551966667175,135,,,,,0.32418909668922424,
7,,,135,,,0.3154033422470093,,,
8,,,139,,,,0.3137889504432678,,
8,,,149,,,,0.3138945400714874,,
,,,72,,,,,,0.33368945121765137
,,,73,,,,,,0.31413841247558594
,,,74,,,,,,0.3144455850124359
,,,75,,,,,,0.314126193523407
,,,76,,,,,,0.3397550582885742
,,,77,,,,,,0.31329086422920227
,,,78,,,,,,0.3148255944252014
,,,79,,,,,,0.31416553258895874
,,,80,,,,,,0.42110827565193176
8,0.9849424958229065,0.9855182766914368,152,,,,,0.32397815585136414,
8,,,152,,,0.3145328760147095,,,
9,,,159,,,,0.31349971890449524,,
9,,,169,,,,0.3135056793689728,,
,,,81,,,,,,0.3273443877696991
,,,82,,,,,,0.31382668018341064
,,,83,,,,,,0.31399238109588623
,,,84,,,,,,0.3138182461261749
,,,85,,,,,,0.34172165393829346
,,,86,,,,,,0.3132866621017456
,,,87,,,,,,0.3140401244163513
,,,88,,,,,,0.3143389821052551
,,,89,,,,,,0.4456498324871063
9,0.9887006282806396,0.9896551966667175,169,,,,,0.32426202297210693,
9,,,169,,,0.316156268119812,,,
10,,,179,,,,0.31374314427375793,,
,,,90,,,,,,0.3300383687019348
,,,91,,,,,,0.31382542848587036
,,,92,,,,,,0.313998818397522
,,,93,,,,,,0.3138154149055481
,,,94,,,,,,0.34108203649520874
,,,95,,,,,,0.31328558921813965
,,,96,,,,,,0.3136334717273712
,,,97,,,,,,0.31413060426712036
,,,98,,,,,,0.4351121187210083
10,0.9849424958229065,0.9855182766914368,186,,,,,0.3240005373954773,
10,,,186,,,0.31450363993644714,,,
11,,,189,,,,0.31360727548599243,,
11,,,199,,,,0.3139144778251648,,
,,,99,,,,,,0.32064753770828247
,,,100,,,,,,0.3135709762573242
,,,101,,,,,,0.3136414885520935
,,,102,,,,,,0.31356582045555115
,,,103,,,,,,0.34321001172065735
,,,104,,,,,,0.3132994771003723
,,,105,,,,,,0.31416988372802734
,,,106,,,,,,0.31465548276901245
,,,107,,,,,,0.46507957577705383
11,0.9887006282806396,0.9896551966667175,203,,,,,0.32439035177230835,
11,,,203,,,0.3139788508415222,,,
12,,,209,,,,0.3140243887901306,,
12,,,219,,,,0.3135150372982025,,
,,,108,,,,,,0.33171284198760986
,,,109,,,,,,0.31357187032699585
,,,110,,,,,,0.3136633038520813
,,,111,,,,,,0.3135659694671631
,,,112,,,,,,0.3415648639202118
,,,113,,,,,,0.3132898509502411
,,,114,,,,,,0.3134259581565857
,,,115,,,,,,0.31433385610580444
,,,116,,,,,,0.4430021047592163
12,0.9849424958229065,0.9855182766914368,220,,,,,0.3244836628437042,
12,,,220,,,0.3147275745868683,,,
13,,,229,,,,0.313468337059021,,
,,,117,,,,,,0.3323572278022766
,,,118,,,,,,0.31356343626976013
,,,119,,,,,,0.3136540949344635
,,,120,,,,,,0.31355559825897217
,,,121,,,,,,0.3416669964790344
,,,122,,,,,,0.31328025460243225
,,,123,,,,,,0.3133098781108856
,,,124,,,,,,0.31404435634613037
,,,125,,,,,,0.4353751838207245
13,0.9849424958229065,0.9855182766914368,237,,,,,0.32420578598976135,
13,,,237,,,0.3140425980091095,,,
14,,,239,,,,0.31346723437309265,,
14,,,249,,,,0.31339290738105774,,
,,,126,,,,,,0.32388171553611755
,,,127,,,,,,0.31350240111351013
,,,128,,,,,,0.3135647475719452
,,,129,,,,,,0.313495934009552
,,,130,,,,,,0.34295323491096497
,,,131,,,,,,0.31328457593917847
,,,132,,,,,,0.3133563995361328
,,,133,,,,,,0.3142576813697815
,,,134,,,,,,0.4485292434692383
14,0.9887006282806396,0.9896551966667175,254,,,,,0.3238925635814667,
14,,,254,,,0.3136209547519684,,,
15,,,259,,,,0.3134136199951172,,
15,,,269,,,,0.3134148418903351,,
,,,135,,,,,,0.33313342928886414
,,,136,,,,,,0.3135155439376831
,,,137,,,,,,0.3136024475097656
,,,138,,,,,,0.31350916624069214
,,,139,,,,,,0.34170734882354736
,,,140,,,,,,0.31327202916145325
,,,141,,,,,,0.313291996717453
,,,142,,,,,,0.3140708804130554
,,,143,,,,,,0.42550352215766907
15,0.9849424958229065,0.9855182766914368,271,,,,,0.32387951016426086,
15,,,271,,,0.31484609842300415,,,
16,,,279,,,,0.31378236413002014,,
,,,144,,,,,,0.33422061800956726
,,,145,,,,,,0.3134610950946808
,,,146,,,,,,0.3135470747947693
,,,147,,,,,,0.3134559988975525
,,,148,,,,,,0.34160417318344116
,,,149,,,,,,0.31326478719711304
,,,150,,,,,,0.313273549079895
,,,151,,,,,,0.31392964720726013
,,,152,,,,,,0.416205495595932
16,0.988712728023529,0.9889747500419617,288,,,,,0.32357484102249146,
16,,,288,,,0.31415772438049316,,,
17,,,289,,,,0.31402498483657837,,
17,,,299,,,,0.31399405002593994,,
,,,153,,,,,,0.32066023349761963
,,,154,,,,,,0.3134080767631531
,,,155,,,,,,0.31344926357269287
,,,156,,,,,,0.3134034276008606
,,,157,,,,,,0.34346866607666016
,,,158,,,,,,0.3132666051387787
,,,159,,,,,,0.31327366828918457
,,,160,,,,,,0.3144308626651764
,,,161,,,,,,0.4512594938278198
17,0.9887006282806396,0.9896551966667175,305,,,,,0.3236531615257263,
17,,,305,,,0.3142509460449219,,,
18,,,309,,,,0.3136976659297943,,
18,,,319,,,,0.31342729926109314,,
,,,162,,,,,,0.3179914951324463
,,,163,,,,,,0.3134056031703949
,,,164,,,,,,0.31343895196914673
,,,165,,,,,,0.3134010434150696
,,,166,,,,,,0.34376025199890137
,,,167,,,,,,0.31326740980148315
,,,168,,,,,,0.3132731020450592
,,,169,,,,,,0.31473830342292786
,,,170,,,,,,0.4648440182209015
18,0.9887006282806396,0.9896551966667175,322,,,,,0.3239630162715912,
18,,,322,,,0.3134973347187042,,,
19,,,329,,,,0.3133547902107239,,
19,,,339,,,,0.31343746185302734,,
,,,171,,,,,,0.3185645341873169
,,,172,,,,,,0.3134329915046692
,,,173,,,,,,0.31347018480300903
,,,174,,,,,,0.3134278357028961
,,,175,,,,,,0.34362998604774475
,,,176,,,,,,0.31326985359191895
,,,177,,,,,,0.3132823407649994
,,,178,,,,,,0.31514957547187805
,,,179,,,,,,0.4638088345527649
19,0.9887006282806396,0.9896551966667175,339,,,,,0.32403433322906494,
19,,,339,,,0.313523530960083,,,
,,,0,,0.3185645341873169,,,,
,,,1,,0.3134329915046692,,,,
,,,2,,0.31347018480300903,,,,
,,,3,,0.3134278357028961,,,,
,,,4,,0.34362998604774475,,,,
,,,5,,0.31326985359191895,,,,
,,,6,,0.3132823407649994,,,,
,,,7,,0.31514957547187805,,,,
,,,8,,0.4638088345527649,,,,
20,,,340,0.32403433322906494,,,,,
